Lead Service Address,x,y
120 COREY ST WEST ROXBURY,748984.4703622609,2930049.2409911156
120 FANEUIL ST BRIGHTON,749328.7365267575,2954769.270483777
120 HIGHLAND ST ROXBURY,766278.1166329533,2944053.499087155
120 KENRICK ST BRIGHTON,745972.9875576198,2951426.035115838
120 MOUNT PLEASANT AV ROXBURY,770643.7204773575,2943754.5546581
120 WASHINGTON ST BRIGHTON,752126.7735231668,2950830.768428728
121 ADDISON ST EAST BOSTON,786690.4777145982,2965830.5796662867
121 BRIGHTON AV ALLSTON,756004.9063733816,2953895.8994428664
121 BROADWAY ST BOSTON,773285.2276849151,2952542.0185142756
121 CUSHING AV DORCHESTER,774664.9006032199,2939362.273981169
121 HAVRE ST EAST BOSTON,780984.6157716364,2961226.2288304865
121 PARSONS ST BRIGHTON,749468.261063382,2954354.6581030637
121 SAINT ANDREW RD EAST BOSTON,791348.3158793747,2965062.445350364
122 WRENTHAM ST DORCHESTER,775839.7184910029,2930589.9274503887
1229 BENNINGTON ST EAST BOSTON,792036.885706842,2967431.746350035
123 ELMER RD DORCHESTER,776285.3424060345,2929887.544578865
123 FLORIDA ST DORCHESTER,775618.355970189,2930153.017695144
123 SAINT ANDREW RD EAST BOSTON,791390.3918806016,2965044.270992726
123 SALEM ST BOSTON,776327.1023919731,2958224.3873654753
124 GLADSTONE ST EAST BOSTON,789627.2469412982,2967272.0757622123
124 MARCELLA ST ROXBURY,765218.8381738514,2943626.4465901405
124 MELVILLE AV DORCHESTER,774713.1420781463,2933250.3384212404
124 NORWELL ST ROXBURY,770202.479951635,2933941.288494125
124 STOUGHTON ST DORCHESTER,774958.0769213587,2940230.1288161725
1245 DORCHESTER AV DORCHESTER,775599.5039184839,2937812.4372549355
125 MELVILLE AV DORCHESTER,774673.0057153404,2933110.8710395396
125 PRINCETON ST EAST BOSTON,781863.6279125214,2963033.349189341
125 TONAWANDA ST DORCHESTER,772394.6917209178,2933896.504135892
125 WORDSWORTH ST EAST BOSTON,787187.3901573867,2965130.986801654
126 CALUMET ST ROXBURY,763622.6814666986,2945880.997140959
126 GLADSTONE ST EAST BOSTON,789481.748657018,2967306.033043012
126 LAKE ST BRIGHTON,747085.8032428324,2950950.0135526657
126 SAINT MARYS ST BOSTON,762589.5209920257,2951230.579499364
127 CRAWFORD ST ROXBURY,766580.8780430257,2940138.749891475
127 LANARK RD BRIGHTON,750981.5646060854,2949312.8943068087
127 PARIS ST EAST BOSTON,781293.2868190855,2961200.628264427
127 SAINT ANDREW RD EAST BOSTON,791471.5600333214,2965006.4695142806
127 SCHOOL ST ROXBURY,764248.7706837505,2940323.9272992015
127 SUTHERLAND RD BRIGHTON,751431.1585200578,2949210.6737891436
1277 MASSACHUSETTS AV DORCHESTER,774489.0984169692,2942398.4005361646
128 G ST SOUTH BOSTON,779477.4997783452,2946143.9336674064
128 MOUNT PLEASANT AV ROXBURY,770685.3135346323,2943786.673606828
128 WEST NINTH ST SOUTH BOSTON,776677.9679841995,2947344.167048186
129 CHISWICK RD BRIGHTON,751638.9952834845,2949499.088104427
129 ENDICOTT ST BOSTON,775844.0492614955,2958248.3549337983
129 FRANKLIN ST ALLSTON,755623.2122030705,2956624.9205114096
129 G ST SOUTH BOSTON,779382.5757365078,2946153.151334837
129 HARRISHOF ST ROXBURY,767159.0436148942,2940900.0032387674
129 NORWELL ST ROXBURY,770113.9019204676,2933863.516371891
13 ALLSTON ST ALLSTON,754817.9843434542,2953798.4627013654
13 BREWSTER ST SOUTH BOSTON,780404.2613779902,2946231.886925742
13 CLIFTON ST ROXBURY,772169.7970864624,2943206.6981291324
13 DACIA ST DORCHESTER,770476.2238990664,2939916.215241164
13 DUDLEY ST ROXBURY,767245.362968266,2945302.302356854
13 EDEN ST CHARLESTOWN,772914.2734988183,2963474.192049861
13 GASTON ST ROXBURY,769121.1203390062,2939542.010784745
13 HARTFORD ST DORCHESTER,771523.1103245616,2940987.0081487894
13 LONGFELLOW ST DORCHESTER,773388.919412598,2935491.359585777
13 LORING ST SOUTH BOSTON,777278.6048146039,2947206.791718036
13 MERLIN ST DORCHESTER,771179.005040586,2933165.047251627
13 ORCHARDFIELD ST DORCHESTER,775540.0364913046,2936068.197590962
13 PRIESING ST JAMAICA PLAIN,763263.8048109263,2942503.7594335675
13 SALEM ST CHARLESTOWN,773406.8076932132,2962859.601253763
13 SAVIN HILL CT DORCHESTER,777573.6064613312,2939465.4422423393
13 SCHUYLER ST ROXBURY,768435.1079674363,2937626.836779833
13 TREMLETT ST DORCHESTER,772330.404228732,2932642.44533512
13 WIGET ST BOSTON,776100.5021821111,2958017.188680798
13 WOODWARD ST SOUTH BOSTON,776078.4234478325,2946182.3181865364
130 CUSHING AV DORCHESTER,774891.4031356275,2939382.7284874916
130 EVERETT ST EAST BOSTON,782360.8784463108,2959235.810825765
130 WORDSWORTH ST EAST BOSTON,787365.0820849091,2965184.8990124464
131 BOSTON ST DORCHESTER,775309.4109420031,2943843.313528657
131 PRINCETON ST EAST BOSTON,781905.9854546636,2963065.9020920843
131 SPENCER ST DORCHESTER,770931.4601226449,2931903.105003074
132 CHANDLER ST BOSTON,771271.1653849483,2951373.957608238
132 HOMESTEAD ST ROXBURY,767444.9128729552,2938703.699902937
132 KING ST DORCHESTER,777133.1718502343,2932625.698338479
1320 DORCHESTER AV DORCHESTER,775552.4566487521,2936711.851210743
133 CHISWICK RD BRIGHTON,749876.3865117729,2949448.371428281
133 HAVRE ST EAST BOSTON,781030.587682113,2961298.6498610526
133 PRINCETON ST EAST BOSTON,781925.1873912513,2963075.5900023878
133 TONAWANDA ST DORCHESTER,772311.4064168632,2933862.8123684227
133 WEST THIRD ST SOUTH BOSTON,777307.9032133371,2949516.6655106544
134 CAMDEN ST BOSTON,769176.2503427416,2948508.6958405823
134 TRENTON ST EAST BOSTON,781922.7775099576,2963766.5893675983
134 WEST CANTON ST BOSTON,771093.7011698782,2950135.0554457754
1343 COMMONWEALTH AV ALLSTON,754641.640243873,2952243.5691254586
135 EUSTIS ST ROXBURY,770206.5941987187,2945111.5694303364
135 GREATON RD WEST ROXBURY,750099.4936185032,2931894.0161610097
