,lat,long,pct_lsl_calc
79,39.449095,-87.08782,
80,38.962303,-87.402557,
81,39.978618,-86.127931,0.0
82,39.978642,-86.127855,0.0
83,40.739987,-85.753089,
84,41.667024,-85.064313,
85,39.917924,-85.446787,
86,39.514768,-86.793897,
87,39.984085,-87.494685,7.49
88,41.312618,-87.220206,
89,41.389104,-87.474598,
90,41.372923,-87.408878,
91,41.369622,-87.44145,
92,41.374541,-87.444469,
93,41.383493,-87.439459,
94,39.416986,-87.077236,4.0
95,39.811425,-84.949606,
96,39.767985,-86.165241,
97,40.663093,-86.869457,
98,38.033904,-87.382662,0.0
99,38.443689,-85.660999,
100,38.444905,-85.609168,0.0
101,40.112866,-85.599557,
102,41.404195,-87.254875,
103,38.014773,-87.036386,0.0
104,41.226272,-85.318085,
105,40.123926,-86.013318,
106,39.793951,-86.158245,6.29
107,39.429339,-86.404097,0.0
108,40.02167,-86.145146,0.0
109,39.09,-86.47,27.16
110,39.952251,-87.46192,
111,39.109552,-84.860813,29.08
112,39.852262,-86.006178,0.0
113,40.246981,-86.725006,0.0
114,39.276161,-87.113012,
115,41.129523,-85.880045,
116,40.727477,-86.777343,
117,41.590552,-86.280217,
118,39.658985,-87.464104,0.0
119,39.660954,-87.39927,0.0
120,39.514768,-86.793897,
121,41.666969,-85.064156,
122,41.708332,-86.061797,
123,40.193802,-86.667924,0.0
124,41.698393,-86.778175,
125,41.156811,-85.474818,33.18
126,39.2,-85.92,13.33
127,39.641159,-85.141075,5.91
128,40.843376,-85.531075,
129,39.31854,-86.115538,0.0
130,41.437272,-85.147193,0.0
131,38.210999,-86.12753,
132,40.805192,-84.955112,
133,40.274867,-85.432009,
134,40.98512,-85.090865,
135,40.278539,-86.483079,
136,39.617641,-86.437274,
137,41.051105,-86.229424,
138,39.807889,-84.887116,
139,40.116589,-85.472695,
140,39.47753,-86.08003,
141,39.528874,-87.104773,
142,40.151221,-85.369925,0.0
143,40.241307,-85.455881,
144,40.380081,-85.653725,
145,40.146306,-87.40049,
146,38.836498,-86.898805,
147,38.342505,-86.354587,
148,41.457827,-86.307881,
149,41.174742,-86.048577,
150,40.756121,-86.395374,
151,41.400604,-85.615818,
152,41.521659,-87.378177,0.0
153,38.795334,-85.840883,
154,41.424426,-87.345938,
155,41.225093,-86.404714,
156,41.217726,-86.422523,
157,41.44244,-86.001613,
158,38.187544,-87.710303,
159,38.168942,-86.989997,
160,40.121361,-85.558114,
161,39.804535,-87.494653,
162,39.761462,-86.52013,2.86
163,40.109903,-86.776572,0.0
164,38.659215,-87.172789,
165,40.377537,-86.775571,0.0
166,39.386711,-85.548512,
167,40.831282,-84.924047,52.27
168,38.861196,-87.302036,
169,40.578928,-86.190272,0.0
170,40.52091,-85.64088,
171,40.238831,-85.367726,
172,40.586369,-86.67237,
173,39.017835,-85.058843,
174,40.423673,-86.272247,
175,39.812202,-85.208306,0.0
176,38.441313,-86.805359,0.0
177,38.315528,-87.031111,0.0
178,39.070043,-87.261404,
179,41.75356,-86.830917,10.1
180,40.377502,-85.210615,
181,38.890056,-85.51413,
182,41.493349,-87.520381,
183,41.45386,-85.573649,
184,40.043674,-86.192652,
185,40.683663,-87.415632,
186,41.651043,-87.445302,81.82
187,38.664884,-86.792466,0.0
188,38.868682,-86.455177,0.0
189,39.129492,-86.443816,
190,38.605613,-86.101089,0.0
191,39.295764,-85.949615,
192,39.027588,-86.937035,16.42
193,40.342764,-85.349784,
194,40.100968,-85.73209,
195,39.353907,-85.965078,15.86
196,38.860879,-87.302772,
197,38.283555,-85.911347,0.0
198,38.159767,-87.448348,
199,41.658586,-86.026386,
200,41.676487,-86.004065,0.72
201,39.233937,-86.624297,0.0
202,39.034767,-87.165846,0.0
203,38.875801,-87.086442,
204,40.274744,-85.840545,7.68
205,38.353806,-86.442849,0.0
206,41.278934,-86.046109,14.53
207,37.988214,-87.518081,2.17
208,39.563092,-85.090129,
209,40.415755,-85.652415,
210,39.68313,-87.408881,
211,41.411996,-87.328225,
212,40.187822,-85.127468,
213,41.641717,-85.416647,0.0
214,39.733528,-87.477798,
215,39.414293,-87.451288,
216,38.22097,-86.867226,
217,38.014773,-87.036386,
218,40.548104,-86.523737,
219,38.379554,-85.995005,0.0
220,41.472592,-87.029707,
221,38.238203,-87.560846,
222,41.086406,-85.130029,27.72
223,39.934374,-85.840695,
224,39.955603,-84.917462,0.0
225,40.617866,-87.320443,
