,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
157,41.44244,-86.001613,44,,,,,
158,38.187544,-87.710303,270,,,,,
159,38.168942,-86.989997,654,,,,,
160,40.121361,-85.558114,714,714.0,,,714.0,
161,39.804535,-87.494653,15,,,,,
162,39.761462,-86.52013,3300,3500.0,100.0,3500.0,0.0,2.86
163,40.109903,-86.776572,317,319.0,0.0,319.0,0.0,0.0
164,38.659215,-87.172789,2847,3000.0,,3000.0,,
165,40.377537,-86.775571,535,536.0,0.0,536.0,0.0,0.0
166,39.386711,-85.548512,1090,,,,,
167,40.831282,-84.924047,4460,4400.0,2300.0,2000.0,100.0,52.27
168,38.861196,-87.302036,109,0.0,0.0,,109.0,
169,40.578928,-86.190272,98,86.0,0.0,86.0,0.0,0.0
170,40.52091,-85.64088,56,,,,,
171,40.238831,-85.367726,128,128.0,,128.0,,
172,40.586369,-86.67237,1200,1200.0,,400.0,800.0,
173,39.017835,-85.058843,790,790.0,,790.0,,
174,40.423673,-86.272247,24,,,,,
175,39.812202,-85.208306,401,428.0,0.0,428.0,0.0,0.0
176,38.441313,-86.805359,3452,3427.0,0.0,3427.0,0.0,0.0
177,38.315528,-87.031111,330,330.0,0.0,0.0,330.0,0.0
178,39.070043,-87.261404,843,,,,,
179,41.75356,-86.830917,198,198.0,20.0,178.0,,10.1
180,40.377502,-85.210615,1033,,,,,
181,38.890056,-85.51413,1525,,,,,
182,41.493349,-87.520381,7180,,,,,
183,41.45386,-85.573649,129,,,,,
184,40.043674,-86.192652,38,,,,,
185,40.683663,-87.415632,170,,,,,
186,41.651043,-87.445302,7200,11000.0,9000.0,,2000.0,81.82
187,38.664884,-86.792466,1235,1276.0,0.0,1276.0,0.0,0.0
188,38.868682,-86.455177,3101,3172.0,0.0,3172.0,0.0,0.0
189,39.129492,-86.443816,1383,1380.0,,1380.0,,
190,38.605613,-86.101089,3383,3600.0,0.0,3600.0,0.0,0.0
191,39.295764,-85.949615,5249,5180.0,,3885.0,1295.0,
192,39.027588,-86.937035,6862,6864.0,1127.0,5735.0,0.0,16.42
193,40.342764,-85.349784,642,,,,,
194,40.100968,-85.73209,915,,,,,
195,39.353907,-85.965078,1892,1891.0,300.0,1182.0,409.0,15.86
196,38.860879,-87.302772,191,0.0,0.0,,191.0,
197,38.283555,-85.911347,3977,4100.0,0.0,4100.0,0.0,0.0
198,38.159767,-87.448348,723,696.0,,,696.0,
199,41.658586,-86.026386,76,75.0,,,75.0,
200,41.676487,-86.004065,17577,20260.0,145.0,12025.0,8090.0,0.72
201,39.233937,-86.624297,4981,4861.0,0.0,4861.0,0.0,0.0
202,39.034767,-87.165846,1347,1800.0,0.0,0.0,1800.0,0.0
203,38.875801,-87.086442,265,,,,,
204,40.274744,-85.840545,3516,3514.0,270.0,1145.0,2099.0,7.68
205,38.353806,-86.442849,328,280.0,0.0,280.0,0.0,0.0
206,41.278934,-86.046109,275,234.0,34.0,200.0,,14.53
207,37.988214,-87.518081,60000,60000.0,1300.0,58700.0,0.0,2.17
208,39.563092,-85.090129,775,798.0,,798.0,,
209,40.415755,-85.652415,1160,,,,,
210,39.68313,-87.408881,640,630.0,,630.0,,
211,41.411996,-87.328225,84,,,,,
212,40.187822,-85.127468,670,660.0,,,660.0,
213,41.641717,-85.416647,14,14.0,0.0,14.0,0.0,0.0
214,39.733528,-87.477798,834,,,,,
215,39.414293,-87.451288,15,15.0,,15.0,,
216,38.22097,-86.867226,965,,,,,
217,38.014773,-87.036386,710,,,,,
218,40.548104,-86.523737,995,,,,,
219,38.379554,-85.995005,2291,2240.0,0.0,2240.0,0.0,0.0
220,41.472592,-87.029707,228,,,,,
221,38.238203,-87.560846,1407,1400.0,,1300.0,100.0,
222,41.086406,-85.130029,96618,101000.0,28000.0,66000.0,7000.0,27.72
223,39.934374,-85.840695,1700,,,,,
224,39.955603,-84.917462,344,339.0,0.0,339.0,0.0,0.0
225,40.617866,-87.320443,1119,,,,,
226,40.985317,-86.879461,453,,,,,
227,38.332269,-87.445295,372,,,,,
228,40.266839,-86.539305,6900,7000.0,1500.0,5000.0,500.0,21.43
229,39.436259,-85.019425,3607,3406.0,0.0,3406.0,0.0,0.0
230,40.223092,-85.780152,921,,,,,
231,38.865036,-87.305652,440,0.0,0.0,0.0,440.0,
232,41.730883,-84.93274,862,30.0,10.0,20.0,0.0,33.33
233,40.578928,-86.190272,639,,,,,
234,39.763194,-86.243989,47,,,,,
235,41.349494,-85.135527,2250,2250.0,,,2250.0,
236,40.488842,-85.613099,2540,2400.0,100.0,2300.0,,4.17
237,40.313931,-85.500528,323,,,,,
238,41.44359,-86.318322,75,82.0,,82.0,,
239,40.655108,-85.037212,575,575.0,,288.0,287.0,
240,38.104218,-87.033053,640,620.0,,620.0,620.0,
241,40.864737,-87.323209,1,1.0,,,,
242,38.294512,-85.975524,1300,,,,,
243,38.098387,-87.602553,4703,4651.0,0.0,4651.0,0.0,0.0
244,38.173478,-87.559104,1740,1720.0,0.0,1720.0,0.0,0.0
245,41.692287,-85.015358,48,48.0,0.0,48.0,0.0,0.0
246,40.157045,-85.29758,30,30.0,,30.0,,
247,39.625881,-85.300244,122,150.0,0.0,145.0,5.0,0.0
248,41.691244,-84.967219,41,,,,,
249,39.976996,-85.394166,150,,,,,
250,40.763373,-87.293633,494,,,,,
251,41.589721,-85.83235,10407,10637.0,1600.0,10637.0,1348.0,15.04
252,39.349647,-86.664334,372,362.0,,146.0,216.0,
253,41.210883,-84.966911,500,560.0,0.0,560.0,0.0,0.0
254,37.933663,-86.981106,322,324.0,0.0,324.0,0.0,0.0
255,38.281269,-86.471697,100,99.0,0.0,99.0,0.0,0.0
256,41.015222,-85.332157,47,48.0,0.0,48.0,0.0,0.0
257,41.718824,-86.823744,227,,,,,
258,39.64449,-86.864732,3802,,,,,
259,39.780987,-85.766264,7677,8044.0,,7698.0,346.0,
260,39.347456,-85.489235,4796,4500.0,0.0,4500.0,0.0,0.0
261,40.478094,-85.966653,980,900.0,,900.0,,
262,38.372564,-85.986359,1815,1786.0,,100.0,1686.0,
263,41.523314,-87.42724,5796,5596.0,0.0,5596.0,,0.0
264,39.91917,-85.152355,37,,,,,
